# fields=2 strings=0,1
"Interface\Icons\Temp","Interface\Icons\Temp"
"e\Icons\Temp","Interface\Icons\Spell_Shadow_BlackPlague"
"\Icons\Temp","Interface\Icons\Spell_Nature_NaturesBlessing"
"Icons\Temp","Interface\Icons\Spell_Fire_Fire"
"cons\Temp","Interface\Icons\Spell_Fire_Fireball"
"ons\Temp","Interface\Icons\Spell_Nature_MagicImmunity"
"ns\Temp","Interface\Icons\Spell_Frost_Frost"
"s\Temp","Interface\Icons\Spell_Frost_Stun"
"\Temp","Interface\Icons\Spell_Fire_FireArmor"
"Temp","Interface\Icons\Spell_Frost_IceShock"
"emp","Interface\Icons\Spell_Fire_FireBolt"
"mp","Interface\Icons\Spell_Nature_LightningShield"
"p","Interface\Icons\Spell_Nature_StrangleVines"
"","Interface\Icons\Spell_Nature_FarSight"
"Interface\Icons\Spell_Shadow_BlackPlague","Interface\Icons\Spell_Shadow_ShadeTrueSight"
"nterface\Icons\Spell_Shadow_BlackPlague","Interface\Icons\Ability_ShockWave"
"terface\Icons\Spell_Shadow_BlackPlague","Interface\Icons\Spell_Nature_Reincarnation"
"erface\Icons\Spell_Shadow_BlackPlague","Interface\Icons\Ability_ThunderBolt"
"rface\Icons\Spell_Shadow_BlackPlague","Interface\Icons\Ability_MeleeDamage"
"face\Icons\Spell_Shadow_BlackPlague","Interface\Icons\Spell_Nature_Slow"
"ace\Icons\Spell_Shadow_BlackPlague","Interface\Icons\Ability_Defend"
"ce\Icons\Spell_Shadow_BlackPlague","Interface\Icons\Ability_Seal"
"e\Icons\Spell_Shadow_BlackPlague","Interface\Icons\Spell_Nature_Invisibilty"
"\Icons\Spell_Shadow_BlackPlague","Interface\Icons\Spell_Fire_Immolation"
"Icons\Spell_Shadow_BlackPlague","Interface\Icons\Spell_Ice_Lament"
"cons\Spell_Shadow_BlackPlague","Interface\Icons\Spell_Fire_SealOfFire"
"ons\Spell_Shadow_BlackPlague","Interface\Icons\Spell_Fire_FlameBlades"
"ns\Spell_Shadow_BlackPlague","Interface\Icons\Spell_Frost_Glacier"
"s\Spell_Shadow_BlackPlague","Interface\Icons\Spell_Frost_ManaRecharge"
"\Spell_Shadow_BlackPlague","Interface\Icons\Spell_Fire_SelfDestruct"
"Spell_Shadow_BlackPlague","Interface\Icons\Spell_Nature_BloodLust"
"pell_Shadow_BlackPlague","Interface\Icons\Spell_Nature_NatureTouchGrow"
"ell_Shadow_BlackPlague","Interface\Icons\Spell_Nature_NatureTouchDecay"
"ll_Shadow_BlackPlague","Interface\Icons\Spell_Nature_DryadDispelMagic"
"l_Shadow_BlackPlague","Interface\Icons\Ability_ThunderClap"
"_Shadow_BlackPlague","Interface\Icons\Ability_Temp"
"Shadow_BlackPlague","Interface\Icons\Spell_Nature_Sleep"
"hadow_BlackPlague","Interface\Icons\Spell_Fire_MeteorStorm"
"adow_BlackPlague","Interface\Icons\Spell_Nature_MoonGlow"
"dow_BlackPlague","Interface\Icons\Spell_Nature_Purge"
"ow_BlackPlague","Interface\Icons\Spell_Shadow_MindSteal"
"w_BlackPlague","Interface\Icons\Ability_EyeOfTheOwl"
"_BlackPlague","Interface\Icons\Ability_BullRush"
"BlackPlague","Interface\Icons\Spell_Holy_InnerFire"
"lackPlague","Interface\Icons\Spell_Holy_Devotion"
"ackPlague","Interface\Icons\Spell_Nature_Thorns"
"ckPlague","Interface\Icons\Spell_Nature_Brilliance"
"kPlague","Interface\Icons\Spell_Shadow_ChillTouch"
"Plague","Interface\Icons\Spell_Frost_FreezingBreath"
"lague","Interface\Icons\Spell_Fire_EnchantWeapon"
"ague","Interface\Icons\Spell_Nature_TimeStop"
"gue","Interface\Icons\Spell_Misc_Food"
"ue","Interface\Icons\Spell_Misc_Drink"
"e","Interface\Icons\Spell_Shadow_RaiseDead"
"","Interface\Icons\Spell_Nature_Lightning"
"Interface\Icons\Spell_Nature_NaturesBlessing","Interface\Icons\Spell_Nature_Strength"
"nterface\Icons\Spell_Nature_NaturesBlessing","Interface\Icons\Spell_Nature_Rejuvenation"
"terface\Icons\Spell_Nature_NaturesBlessing","Interface\Icons\Spell_Nature_NullWard"
"erface\Icons\Spell_Nature_NaturesBlessing","Interface\Icons\Spell_Nature_Earthquake"
"rface\Icons\Spell_Nature_NaturesBlessing","Interface\Icons\Spell_Nature_SpiritWolf"
"face\Icons\Spell_Nature_NaturesBlessing","Interface\Icons\Spell_Nature_CorrosiveBreath"
"ace\Icons\Spell_Nature_NaturesBlessing","Interface\Icons\Ability_Ensnare"
"ce\Icons\Spell_Nature_NaturesBlessing","Interface\Icons\Spell_Holy_HolyBolt"
